network, data_set, data_set_size, num_processes, time_elapsed
bnet-sprinkler, sprinkler-uniform-, 1300, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 1300, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 1300, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 1300, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 1300, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 1300, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 1400, 1, 0.06
bnet-sprinkler, sprinkler-uniform-, 1400, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 1400, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 1400, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 1400, 1, 0.05
bnet-sprinkler, sprinkler-uniform-, 1400, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 1400, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 1400, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 1400, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 1400, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 1500, 1, 0.07
bnet-sprinkler, sprinkler-uniform-, 1500, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 1500, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 1500, 1, 0
bnet-sprinkler, sprinkler-uniform-, 1500, 1, 0.05
bnet-sprinkler, sprinkler-uniform-, 1500, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 1500, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 1500, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 1500, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 1500, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 1600, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 1600, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 1600, 1, 0.05
bnet-sprinkler, sprinkler-uniform-, 1600, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 1600, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 1600, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 1600, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 1600, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 1600, 1, 0.05
bnet-sprinkler, sprinkler-uniform-, 1600, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 1700, 1, 0.08
bnet-sprinkler, sprinkler-uniform-, 1700, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 1700, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 1700, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 1700, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 1700, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 1700, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 1700, 1, 0.05
bnet-sprinkler, sprinkler-uniform-, 1700, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 1700, 1, 0.05
bnet-sprinkler, sprinkler-uniform-, 1800, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 1800, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 1800, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 1800, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 1800, 1, 0.06
bnet-sprinkler, sprinkler-uniform-, 1800, 1, 0.05
bnet-sprinkler, sprinkler-uniform-, 1800, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 1800, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 1800, 1, 0.05
bnet-sprinkler, sprinkler-uniform-, 1800, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 1900, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 1900, 1, 0.07
bnet-sprinkler, sprinkler-uniform-, 1900, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 1900, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 1900, 1, 0.05
bnet-sprinkler, sprinkler-uniform-, 1900, 1, 0.06
bnet-sprinkler, sprinkler-uniform-, 1900, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 1900, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 1900, 1, 0.05
bnet-sprinkler, sprinkler-uniform-, 1900, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 2000, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 2000, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 2000, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 2000, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 2000, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 2000, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 2000, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 2000, 1, 0.1
bnet-sprinkler, sprinkler-uniform-, 2000, 1, 0.06
bnet-sprinkler, sprinkler-uniform-, 2000, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 2100, 1, 0.06
bnet-sprinkler, sprinkler-uniform-, 2100, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 2100, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 2100, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 2100, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 2100, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 2100, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 2100, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 2100, 1, 0.05
bnet-sprinkler, sprinkler-uniform-, 2100, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 2200, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 2200, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 2200, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 2200, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 2200, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 2200, 1, 0.24
bnet-sprinkler, sprinkler-uniform-, 2200, 1, 0.05
bnet-sprinkler, sprinkler-uniform-, 2200, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 2200, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 2200, 1, 0.08
bnet-sprinkler, sprinkler-uniform-, 2300, 1, 0.11
bnet-sprinkler, sprinkler-uniform-, 2300, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 2300, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 2300, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 2300, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 2300, 1, 0
bnet-sprinkler, sprinkler-uniform-, 2300, 1, 0.05
bnet-sprinkler, sprinkler-uniform-, 2300, 1, 0.08
bnet-sprinkler, sprinkler-uniform-, 2300, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 2300, 1, 0.07
bnet-sprinkler, sprinkler-uniform-, 2400, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 2400, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 2400, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 2400, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 2400, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 2400, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 2400, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 2400, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 2400, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 2400, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 2500, 1, 0.05
bnet-sprinkler, sprinkler-uniform-, 2500, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 2500, 1, 0.07
bnet-sprinkler, sprinkler-uniform-, 2500, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 2500, 1, 0.06
bnet-sprinkler, sprinkler-uniform-, 2500, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 2500, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 2500, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 2500, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 2500, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 2600, 1, 0.05
bnet-sprinkler, sprinkler-uniform-, 2600, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 2600, 1, 0.08
bnet-sprinkler, sprinkler-uniform-, 2600, 1, 0.05
bnet-sprinkler, sprinkler-uniform-, 2600, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 2600, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 2600, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 2600, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 2600, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 2600, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 2700, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 2700, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 2700, 1, 0.07
bnet-sprinkler, sprinkler-uniform-, 2700, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 2700, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 2700, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 2700, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 2700, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 2700, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 2700, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 2800, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 2800, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 2800, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 2800, 1, 0.12
bnet-sprinkler, sprinkler-uniform-, 2800, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 2800, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 2800, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 2800, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 2800, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 2800, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 2900, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 2900, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 2900, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 2900, 1, 0.05
bnet-sprinkler, sprinkler-uniform-, 2900, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 2900, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 2900, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 2900, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 2900, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 2900, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 3000, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 3000, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 3000, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 3000, 1, 0.06
bnet-sprinkler, sprinkler-uniform-, 3000, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 3000, 1, 0.07
bnet-sprinkler, sprinkler-uniform-, 3000, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 3000, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 3000, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 3000, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 3100, 1, 0.05
bnet-sprinkler, sprinkler-uniform-, 3100, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 3100, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 3100, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 3100, 1, 0.06
bnet-sprinkler, sprinkler-uniform-, 3100, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 3100, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 3100, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 3100, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 3100, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 3200, 1, 0.05
bnet-sprinkler, sprinkler-uniform-, 3200, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 3200, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 3200, 1, 0.08
bnet-sprinkler, sprinkler-uniform-, 3200, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 3200, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 3200, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 3200, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 3200, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 3200, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 3300, 1, 0.05
bnet-sprinkler, sprinkler-uniform-, 3300, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 3300, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 3300, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 3300, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 3300, 1, 0.05
bnet-sprinkler, sprinkler-uniform-, 3300, 1, 0.05
bnet-sprinkler, sprinkler-uniform-, 3300, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 3300, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 3300, 1, 0.07
bnet-sprinkler, sprinkler-uniform-, 3400, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 3400, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 3400, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 3400, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 3400, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 3400, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 3400, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 3400, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 3400, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 3400, 1, 0.05
bnet-sprinkler, sprinkler-uniform-, 3500, 1, 0.06
bnet-sprinkler, sprinkler-uniform-, 3500, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 3500, 1, 0.06
bnet-sprinkler, sprinkler-uniform-, 3500, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 3500, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 3500, 1, 0.06
bnet-sprinkler, sprinkler-uniform-, 3500, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 3500, 1, 0.05
bnet-sprinkler, sprinkler-uniform-, 3500, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 3500, 1, 0.11
bnet-sprinkler, sprinkler-uniform-, 3600, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 3600, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 3600, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 3600, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 3600, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 3600, 1, 0.07
bnet-sprinkler, sprinkler-uniform-, 3600, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 3600, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 3600, 1, 0.05
bnet-sprinkler, sprinkler-uniform-, 3600, 1, 0.05
bnet-sprinkler, sprinkler-uniform-, 3700, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 3700, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 3700, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 3700, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 3700, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 3700, 1, 0.05
bnet-sprinkler, sprinkler-uniform-, 3700, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 3700, 1, 0.13
bnet-sprinkler, sprinkler-uniform-, 3700, 1, 0.06
bnet-sprinkler, sprinkler-uniform-, 3700, 1, 0.05
bnet-sprinkler, sprinkler-uniform-, 3800, 1, 0.06
bnet-sprinkler, sprinkler-uniform-, 3800, 1, 0.05
bnet-sprinkler, sprinkler-uniform-, 3800, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 3800, 1, 0.08
bnet-sprinkler, sprinkler-uniform-, 3800, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 3800, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 3800, 1, 0.07
bnet-sprinkler, sprinkler-uniform-, 3800, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 3800, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 3800, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 3900, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 3900, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 3900, 1, 0.07
bnet-sprinkler, sprinkler-uniform-, 3900, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 3900, 1, 0.05
bnet-sprinkler, sprinkler-uniform-, 3900, 1, 0.07
bnet-sprinkler, sprinkler-uniform-, 3900, 1, 0.05
bnet-sprinkler, sprinkler-uniform-, 3900, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 3900, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 3900, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 4000, 1, 0.05
bnet-sprinkler, sprinkler-uniform-, 4000, 1, 0.07
bnet-sprinkler, sprinkler-uniform-, 4000, 1, 0.18
bnet-sprinkler, sprinkler-uniform-, 4000, 1, 0.08
bnet-sprinkler, sprinkler-uniform-, 4000, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 4000, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 4000, 1, 0.05
bnet-sprinkler, sprinkler-uniform-, 4000, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 4000, 1, 0.06
bnet-sprinkler, sprinkler-uniform-, 4000, 1, 0.06
bnet-sprinkler, sprinkler-uniform-, 4100, 1, 0.05
bnet-sprinkler, sprinkler-uniform-, 4100, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 4100, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 4100, 1, 0.13
bnet-sprinkler, sprinkler-uniform-, 4100, 1, 0.06
bnet-sprinkler, sprinkler-uniform-, 4100, 1, 0.05
bnet-sprinkler, sprinkler-uniform-, 4100, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 4100, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 4100, 1, 0.05
bnet-sprinkler, sprinkler-uniform-, 4100, 1, 0.07
bnet-sprinkler, sprinkler-uniform-, 4200, 1, 0.07
bnet-sprinkler, sprinkler-uniform-, 4200, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 4200, 1, 0.06
bnet-sprinkler, sprinkler-uniform-, 4200, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 4200, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 4200, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 4200, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 4200, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 4200, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 4200, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 4300, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 4300, 1, 0.05
bnet-sprinkler, sprinkler-uniform-, 4300, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 4300, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 4300, 1, 0.04
