LLIW,SubjVertMo,LoLevMoistAd,N0_7muVerMo,WndHodograph,MorningBound,LIfr12ZDENSd,IRCloudCover,Date,QGVertMotion,SatContMoist,AMInstabMt,MorningCIN,RaoContMoist,AMDewptCalPl,VISCloudCov,LatestCIN,CurPropConv,CombVerMo,InsChange,Boundaries,OutflowFrMt,CldShadeConv,AMInsWliScen,CombClouds,Scenario,CombMoisture,InsInMt,AMCINInScen,PlainsFcst,AreaMeso_ALS,InsSclInScen,CompPlFcst,CldShadeOth,MeanRH,WindFieldMt,SynForcng,ScenRel3_4,WindAloft,ScenRelAMIns,Dewpoints,LowLLapse,MvmtFeatures,SfcWndShfDis,RHRatio,MidLLapse,ScnRelPlFcst,WindFieldPln,ScenRelAMCIN,TempDis,AreaMoDryAir,MountainFcst,CapInScen,N34StarFcst,CapChange,R5Fcst
Weak,Down,WeakPos,Neutral,Other,Weak,LIGt0,Cloudy,Jul2_Jul15,Down,VeryWet,Strong,PartInhibit,Dry,Stability,Clear,None,Slight,Down,Increasing,None,None,None,LessUnstable,Cloudy,K,Wet,Strong,Average,NIL,Down,LessUnstable,LittleChange,PC,Dry,Westerly,PosToNeg,ACEFK,AllElse,K,HighEvrywher,Steep,StrongFront,DryLine,Other,ModerateOrLe,K,WidespdDnsl,CThruK,None,Dry,SVR,Average,NIL,LittleChange,SVR
Moderate,Neutral,WeakPos,Down,Other,Weak,LILt_8,Clear,Jul16_Aug10,Down,Dry,None,PartInhibit,VeryWet,Neutral,Clear,PartInhibit,None,Neutral,Increasing,Weak,None,None,MoreUnstable,Clear,K,Neutral,None,LessThanAve,NIL,Neutral,MoreUnstable,DecCapIncIns,Clear,VeryMoist,LVorOther,SigPositive,ACEFK,NWQuad,K,LowNHighS,ModerateOrLe,StrongFront,E_W_S,DryMMoistL,Steep,K,E_NE,CThruK,None,Wet,NIL,LessThanAve,NIL,Decreasing,NIL
Moderate,Down,Neutral,StrongUp,StrongWest,None,N1GtLIGt_4,PC,May15_Jun14,Neutral,Wet,Strong,Stifling,Wet,Instability,Cloudy,None,Strong,Neutral,LittleChange,None,Strong,None,Average,Cloudy,B,Wet,Strong,Average,SIG,Neutral,Average,IncCapDecIns,Cloudy,VeryMoist,Westerly,LittleChange,B,NWQuad,ABI,LowEvrywhere,Stable,NoMajor,DenvCyclone,MoistMDryL,CloseToDryAd,B,DenvCyclone,AB,None,Wet,SIG,Average,SIG,Increasing,SIG
Unfavorable,Down,WeakPos,Neutral,Westerly,None,LIGt0,Clear,Jul16_Aug10,Down,Wet,Weak,PartInhibit,Neutral,Neutral,PC,PartInhibit,None,Down,Increasing,Weak,None,Marked,MoreUnstable,Cloudy,E,Wet,Strong,MoreThanAve,SIG,Down,,DecCapIncIns,Cloudy,Average,Westerly,LittleChange,ACEFK,SWQuad,CDEJ,LowMtsHighPl,CloseToDryAd,NoMajor,DryLine,DryMMoistL,CloseToDryAd,E,LV,CThruK,None,Wet,SIG,MoreThanAve,SIG,Decreasing,SIG
Moderate,Neutral,WeakPos,Down,DCVZFavor,Strong,N5GtLIGt_8,Clear,Jul2_Jul15,Down,VeryWet,Strong,PartInhibit,Dry,Stability,PC,Stifling,Slight,Down,Increasing,Strong,Weak,Some,MoreUnstable,Clear,C,Neutral,Strong,LessThanAve,NIL,Down,MoreUnstable,LittleChange,Clear,Dry,Westerly,SigPositive,ACEFK,SWQuad,CDEJ,LowNHighS,CloseToDryAd,OtherRapid,E_W_N,Other,ModerateOrLe,C,LongAnticyc,CThruK,Other,Dry,SVR,LessThanAve,NIL,LittleChange,SVR
Moderate,Neutral,WeakPos,Neutral,Other,None,N1GtLIGt_4,Clear,Aug20_Sep15,Neutral,Neutral,Strong,PartInhibit,Dry,Instability,PC,None,Moderate,Neutral,Decreasing,Weak,None,Some,Average,Clear,K,Dry,Strong,Average,SIG,Neutral,Average,LittleChange,Clear,Average,Westerly,SigNegative,ACEFK,AllElse,K,Other,Steep,StrongFront,DenvCyclone,Other,Steep,K,LV,CThruK,Moving,Dry,SVR,Average,SIG,LittleChange,SVR
Moderate,Neutral,Negative,Down,DCVZFavor,Weak,N5GtLIGt_8,PC,May15_Jun14,Neutral,Dry,Strong,PartInhibit,Dry,Stability,PC,None,Strong,Down,Decreasing,Strong,Weak,None,Average,PC,D,Dry,Strong,Average,SIG,Down,LessUnstable,DecCapIncIns,PC,Average,LVorOther,PosToNeg,D,NWQuad,CDEJ,LowEvrywhere,Steep,NoMajor,None,Other,Steep,D,SEQuad,CThruK,None,Dry,SIG,Average,NIL,Decreasing,SIG
Weak,Neutral,WeakPos,StrongUp,Other,None,N5GtLIGt_8,Clear,May15_Jun14,WeakUp,Neutral,Weak,PartInhibit,Neutral,Stability,PC,Stifling,None,WeakUp,Increasing,Weak,None,None,Average,PC,H,Dry,Strong,Average,NIL,WeakUp,MoreUnstable,DecCapIncIns,Cloudy,VeryMoist,Westerly,PosToNeg,HI,AllElse,H,LowMtsHighPl,Stable,NoMajor,E_W_N,Other,ModerateOrLe,H,E_NE,CThruK,Moving,Dry,SIG,Average,NIL,Decreasing,SIG
Weak,WeakUp,Negative,Down,Other,None,N1GtLIGt_4,PC,Jul2_Jul15,StrongUp,Wet,Strong,,Wet,Instability,Clear,Stifling,Slight,Neutral,Decreasing,Weak,None,Some,Average,PC,C,VeryWet,Strong,Average,NIL,Neutral,LessUnstable,LittleChange,PC,Average,LVorOther,LittleChange,ACEFK,SWQuad,CDEJ,LowEvrywhere,CloseToDryAd,OtherRapid,E_W_S,Other,ModerateOrLe,,LongAnticyc,CThruK,Other,VeryWet,SVR,Average,NIL,LittleChange,SVR
Weak,Neutral,Neutral,Down,StrongWest,None,N5GtLIGt_8,PC,May15_Jun14,Down,Dry,Weak,TotalInhibit,Neutral,Stability,Clear,None,Slight,Neutral,LittleChange,None,Strong,None,MoreUnstable,Clear,K,Wet,Strong,MoreThanAve,SVR,Neutral,MoreUnstable,IncCapDecIns,Clear,VeryMoist,Westerly,SigPositive,ACEFK,NWQuad,K,HighEvrywher,ModerateOrLe,MarkedUpper,DryLine,MoistMDryL,ModerateOrLe,K,LongAnticyc,CThruK,Other,Wet,SVR,MoreThanAve,SVR,Increasing,SVR
Moderate,Neutral,WeakPos,WeakUp,DCVZFavor,Strong,LIGt0,PC,Jun15_Jul1,Neutral,Wet,Weak,Stifling,VeryWet,Stability,PC,PartInhibit,Slight,Neutral,Increasing,None,Weak,None,LessUnstable,PC,B,Wet,Strong,Average,NIL,Neutral,Average,IncCapDecIns,Cloudy,Average,LVorOther,NegToPos,B,SWQuad,ABI,LowAtStation,Stable,NoMajor,E_W_S,DryMMoistL,Steep,B,DenvCyclone,AB,Moving,Wet,SVR,Average,NIL,Increasing,SVR
Unfavorable,Neutral,WeakPos,Neutral,Other,Strong,N5GtLIGt_8,Clear,Jun15_Jul1,Down,Dry,Weak,PartInhibit,VeryWet,Stability,PC,None,Slight,Neutral,Decreasing,Strong,None,Marked,Average,Clear,F,Neutral,Strong,LessThanAve,NIL,Neutral,Average,DecCapIncIns,Clear,VeryMoist,Westerly,SigPositive,ACEFK,LV,,HighEvrywher,ModerateOrLe,NoMajor,E_W_N,Other,Steep,F,LV,CThruK,Moving,Wet,SIG,LessThanAve,NIL,Decreasing,SIG
Weak,Down,WeakPos,StrongUp,Other,Strong,LILt_8,PC,Jul16_Aug10,Neutral,Wet,None,PartInhibit,Wet,Instability,Clear,TotalInhibit,None,,Increasing,Strong,None,Some,MoreUnstable,PC,E,VeryWet,None,Average,NIL,StrongUp,MoreUnstable,LittleChange,Cloudy,Average,LVorOther,LittleChange,ACEFK,AllElse,CDEJ,LowAtStation,CloseToDryAd,NoMajor,None,Other,ModerateOrLe,E,LV,CThruK,None,VeryWet,NIL,Average,SIG,LittleChange,SIG
Moderate,Neutral,WeakPos,StrongUp,Westerly,Strong,N5GtLIGt_8,PC,May15_Jun14,StrongUp,Wet,,PartInhibit,Dry,Stability,PC,PartInhibit,Slight,StrongUp,Increasing,None,None,Marked,Average,PC,C,Neutral,Strong,Average,NIL,StrongUp,Average,IncCapDecIns,PC,VeryMoist,Westerly,NegToPos,ACEFK,AllElse,CDEJ,LowMtsHighPl,CloseToDryAd,OtherRapid,E_W_N,Other,CloseToDryAd,C,LongAnticyc,CThruK,None,Neutral,NIL,Average,NIL,Increasing,NIL
Unfavorable,Neutral,StrongPos,StrongUp,Other,Strong,N1GtLIGt_4,Clear,Jul16_Aug10,StrongUp,VeryWet,None,PartInhibit,Dry,Stability,PC,PartInhibit,None,StrongUp,Increasing,Strong,None,Marked,MoreUnstable,Clear,J,Neutral,None,Average,SIG,StrongUp,MoreUnstable,IncCapDecIns,PC,Average,LVorOther,LittleChange,GJ,LV,CDEJ,LowAtStation,ModerateOrLe,OtherRapid,DryLine,MoistMDryL,ModerateOrLe,J,LV,CThruK,Other,VeryWet,NIL,Average,SIG,Increasing,SIG
Weak,Neutral,Negative,WeakUp,StrongWest,None,N1GtLIGt_4,PC,May15_Jun14,Neutral,Wet,Weak,PartInhibit,VeryWet,Stability,PC,PartInhibit,Slight,Neutral,LittleChange,Strong,Strong,None,LessUnstable,Cloudy,A,VeryWet,Strong,Average,NIL,Neutral,LessUnstable,IncCapDecIns,Cloudy,Average,Westerly,PosToNeg,ACEFK,SWQuad,ABI,LowEvrywhere,Stable,MarkedUpper,DenvCyclone,DryMMoistL,ModerateOrLe,A,DenvCyclone,AB,Moving,VeryWet,NIL,Average,NIL,Increasing,NIL
Moderate,Neutral,WeakPos,Neutral,DCVZFavor,Weak,N1GtLIGt_4,PC,May15_Jun14,Neutral,Dry,None,Stifling,Dry,Neutral,Clear,PartInhibit,None,Neutral,Increasing,Weak,Weak,None,Average,Clear,B,Dry,None,Average,NIL,Neutral,Average,LittleChange,Clear,Average,LVorOther,SigNegative,B,SWQuad,ABI,LowNHighS,Steep,NoMajor,DenvCyclone,Other,CloseToDryAd,B,LV,AB,None,Dry,NIL,Average,NIL,LittleChange,NIL
Moderate,WeakUp,WeakPos,WeakUp,DCVZFavor,None,N5GtLIGt_8,Cloudy,Aug20_Sep15,Down,Dry,Weak,PartInhibit,Dry,Stability,PC,Stifling,Slight,WeakUp,Increasing,None,Weak,None,MoreUnstable,Cloudy,D,Dry,Strong,MoreThanAve,SVR,WeakUp,MoreUnstable,IncCapDecIns,Cloudy,Average,Westerly,LittleChange,D,SWQuad,CDEJ,LowEvrywhere,CloseToDryAd,OtherRapid,None,DryMMoistL,CloseToDryAd,D,SEQuad,CThruK,None,Dry,SVR,MoreThanAve,SVR,Increasing,SVR
Weak,StronUp,Negative,Down,DCVZFavor,Weak,N5GtLIGt_8,PC,Jul16_Aug10,Neutral,VeryWet,Weak,None,Wet,Neutral,Clear,None,None,Neutral,Decreasing,Strong,Weak,Marked,MoreUnstable,Clear,C,Wet,Strong,LessThanAve,NIL,Neutral,Average,LittleChange,Clear,Average,Westerly,SigNegative,ACEFK,SWQuad,CDEJ,LowEvrywhere,Steep,NoMajor,E_W_N,Other,CloseToDryAd,C,LongAnticyc,CThruK,None,Neutral,SIG,LessThanAve,NIL,LittleChange,SIG
Unfavorable,Neutral,Neutral,Down,Other,None,N5GtLIGt_8,Clear,Jun15_Jul1,Neutral,Neutral,Weak,PartInhibit,VeryWet,Stability,Cloudy,Stifling,None,Neutral,Decreasing,Weak,None,Some,Average,Cloudy,B,VeryWet,Strong,Average,NIL,Neutral,LessUnstable,LittleChange,Cloudy,Average,Westerly,LittleChange,B,NWQuad,ABI,LowMtsHighPl,ModerateOrLe,OtherRapid,E_W_N,DryMMoistL,Steep,B,E_NE,AB,Other,VeryWet,NIL,Average,NIL,LittleChange,NIL
Unfavorable,Neutral,WeakPos,WeakUp,Other,Strong,N1GtLIGt_4,PC,May15_Jun14,StrongUp,Neutral,Weak,PartInhibit,VeryWet,Instability,PC,None,None,Neutral,Increasing,Strong,None,None,Average,PC,B,Wet,Strong,MoreThanAve,NIL,Neutral,Average,IncCapDecIns,PC,Average,LVorOther,LittleChange,B,LV,ABI,HighEvrywher,ModerateOrLe,NoMajor,DenvCyclone,DryMMoistL,CloseToDryAd,B,SEQuad,AB,Moving,Wet,SIG,MoreThanAve,NIL,Increasing,SIG
Unfavorable,Neutral,Neutral,StrongUp,StrongWest,None,N5GtLIGt_8,Clear,May15_Jun14,Neutral,Dry,None,PartInhibit,Wet,Neutral,Clear,None,Slight,WeakUp,Decreasing,Strong,None,None,MoreUnstable,Clear,K,Dry,None,Average,SVR,WeakUp,LessUnstable,DecCapIncIns,Clear,Average,Westerly,LittleChange,ACEFK,AllElse,K,HighEvrywher,Steep,StrongFront,MovingFtorOt,DryMMoistL,CloseToDryAd,K,LongAnticyc,CThruK,None,Dry,NIL,Average,SVR,Decreasing,SVR
Strong,Down,Negative,Neutral,StrongWest,Strong,LILt_8,Clear,Aug20_Sep15,WeakUp,VeryWet,Weak,None,Neutral,Instability,Clear,PartInhibit,Slight,Neutral,LittleChange,None,Weak,None,MoreUnstable,Clear,C,Wet,Strong,LessThanAve,NIL,Neutral,MoreUnstable,IncCapDecIns,PC,Dry,Westerly,LittleChange,ACEFK,SWQuad,CDEJ,LowAtStation,CloseToDryAd,OtherRapid,E_W_S,Other,ModerateOrLe,C,LV,CThruK,Other,Wet,SIG,LessThanAve,NIL,Increasing,SIG
Moderate,Neutral,WeakPos,StrongUp,Westerly,None,N5GtLIGt_8,PC,Jul2_Jul15,Neutral,VeryWet,None,PartInhibit,Dry,Instability,Cloudy,PartInhibit,Slight,StrongUp,Increasing,Weak,None,Marked,MoreUnstable,Cloudy,H,VeryWet,None,Average,SVR,StrongUp,MoreUnstable,LittleChange,PC,Average,Westerly,SigNegative,HI,AllElse,H,Other,Stable,NoMajor,MovingFtorOt,Other,Steep,H,SEQuad,CThruK,Moving,VeryWet,NIL,Average,SIG,LittleChange,SIG
Strong,Neutral,Negative,StrongUp,Other,None,N1GtLIGt_4,Clear,Jul16_Aug10,Neutral,Wet,Strong,Stifling,Wet,Stability,PC,Stifling,None,StrongUp,LittleChange,Weak,None,Some,MoreUnstable,Clear,E,VeryWet,Strong,Average,NIL,StrongUp,MoreUnstable,IncCapDecIns,PC,Average,Westerly,LittleChange,ACEFK,SWQuad,CDEJ,LowNHighS,Steep,NoMajor,DryLine,MoistMDryL,Steep,E,LV,CThruK,None,VeryWet,SIG,Average,NIL,Increasing,SIG
Moderate,StronUp,Neutral,Down,Other,None,LIGt0,PC,Aug20_Sep15,Neutral,Wet,Weak,Stifling,Neutral,Stability,PC,Stifling,None,Neutral,Decreasing,Weak,None,None,LessUnstable,PC,J,Wet,Strong,Average,NIL,Neutral,LessUnstable,DecCapIncIns,PC,Dry,LVorOther,LittleChange,GJ,LV,CDEJ,LowSHighN,Steep,NoMajor,DryLine,MoistMDryL,CloseToDryAd,J,LV,CThruK,Moving,Wet,NIL,Average,NIL,Decreasing,NIL
Moderate,Neutral,StrongPos,WeakUp,StrongWest,None,LIGt0,Cloudy,Jun15_Jul1,Neutral,Wet,None,PartInhibit,Dry,Instability,PC,TotalInhibit,None,WeakUp,Increasing,Strong,None,None,LessUnstable,PC,K,Wet,None,LessThanAve,NIL,WeakUp,Average,IncCapDecIns,Cloudy,VeryMoist,Westerly,SigPositive,ACEFK,NWQuad,K,LowNHighS,Stable,MarkedUpper,Other,Other,ModerateOrLe,K,SEQuad,CThruK,None,Wet,NIL,LessThanAve,NIL,Increasing,NIL
Strong,WeakUp,Neutral,Neutral,Westerly,None,N1GtLIGt_4,PC,May15_Jun14,Neutral,Neutral,Strong,Stifling,Dry,Neutral,PC,None,Strong,Neutral,LittleChange,Weak,None,Marked,MoreUnstable,PC,G,Neutral,Strong,Average,SVR,Neutral,MoreUnstable,IncCapDecIns,PC,Dry,Westerly,LittleChange,GJ,NWQuad,G,LowAtStation,CloseToDryAd,NoMajor,DryLine,MoistMDryL,CloseToDryAd,G,WidespdDnsl,CThruK,None,Neutral,NIL,Average,SVR,Increasing,SVR
Moderate,Neutral,Negative,Neutral,StrongWest,Strong,N5GtLIGt_8,PC,Aug20_Sep15,StrongUp,VeryWet,Strong,TotalInhibit,Neutral,Stability,PC,None,Strong,Neutral,LittleChange,Strong,Weak,None,MoreUnstable,PC,E,Wet,Strong,MoreThanAve,SIG,Neutral,MoreUnstable,IncCapDecIns,PC,Dry,Westerly,LittleChange,ACEFK,SWQuad,CDEJ,LowAtStation,CloseToDryAd,NoMajor,None,Other,Steep,E,LV,CThruK,Other,Wet,SVR,MoreThanAve,SIG,Increasing,SVR
Moderate,Neutral,Negative,WeakUp,StrongWest,None,N5GtLIGt_8,PC,Aug20_Sep15,StrongUp,Dry,Strong,TotalInhibit,Dry,Instability,Clear,PartInhibit,Slight,Neutral,Decreasing,None,Weak,None,MoreUnstable,Clear,H,VeryWet,Strong,MoreThanAve,NIL,Neutral,MoreUnstable,IncCapDecIns,Clear,Average,Westerly,SigNegative,HI,NWQuad,H,LowMtsHighPl,Stable,NoMajor,E_W_S,DryMMoistL,ModerateOrLe,H,E_NE,CThruK,None,VeryWet,NIL,MoreThanAve,NIL,Increasing,NIL
Weak,StronUp,WeakPos,StrongUp,StrongWest,Weak,N5GtLIGt_8,PC,Aug11_Aug20,StrongUp,Neutral,Weak,PartInhibit,Neutral,Instability,Clear,None,Moderate,StrongUp,Increasing,Strong,Strong,None,MoreUnstable,Clear,B,Wet,Strong,Average,NIL,StrongUp,MoreUnstable,LittleChange,PC,VeryMoist,LVorOther,NegToPos,B,LV,ABI,LowSHighN,Stable,NoMajor,DenvCyclone,Other,ModerateOrLe,B,DenvCyclone,AB,QStationary,VeryWet,SVR,Average,NIL,LittleChange,SVR
Weak,Down,Neutral,Down,StrongWest,None,N1GtLIGt_4,PC,May15_Jun14,Neutral,Wet,None,None,Neutral,Stability,Clear,PartInhibit,Slight,Neutral,LittleChange,None,Weak,None,Average,PC,B,Neutral,None,LessThanAve,NIL,Neutral,MoreUnstable,IncCapDecIns,PC,Average,LVorOther,LittleChange,B,AllElse,ABI,HighEvrywher,ModerateOrLe,OtherRapid,MovingFtorOt,Other,Steep,B,DenvCyclone,AB,QStationary,Neutral,NIL,LessThanAve,NIL,Increasing,NIL
Weak,WeakUp,StrongPos,WeakUp,Westerly,Weak,N5GtLIGt_8,PC,Jul16_Aug10,Neutral,Wet,Weak,TotalInhibit,Dry,Instability,Clear,Stifling,None,WeakUp,Increasing,None,None,Marked,Average,Clear,J,Neutral,Strong,MoreThanAve,SIG,WeakUp,Average,DecCapIncIns,,VeryMoist,LVorOther,LittleChange,GJ,LV,CDEJ,LowAtStation,Steep,NoMajor,DryLine,DryMMoistL,Steep,J,LV,CThruK,Other,Wet,SIG,MoreThanAve,SIG,Decreasing,SIG
Moderate,StronUp,Neutral,Down,DCVZFavor,None,N5GtLIGt_8,Cloudy,Jun15_Jul1,Down,Dry,Strong,PartInhibit,VeryWet,Stability,Clear,Stifling,Slight,Down,Decreasing,Strong,Weak,Marked,Average,Cloudy,J,VeryWet,Strong,Average,NIL,Down,LessUnstable,IncCapDecIns,PC,Average,LVorOther,PosToNeg,GJ,LV,CDEJ,LowAtStation,CloseToDryAd,StrongFront,DryLine,MoistMDryL,ModerateOrLe,J,LV,CThruK,Other,Wet,SIG,Average,NIL,Increasing,SIG
Moderate,Neutral,StrongPos,Down,DCVZFavor,Weak,N1GtLIGt_4,PC,,Neutral,Wet,Weak,PartInhibit,Neutral,Neutral,PC,None,Slight,Down,Increasing,Strong,Weak,None,LessUnstable,PC,K,Wet,Strong,Average,NIL,Down,Average,IncCapDecIns,Clear,Average,Westerly,SigNegative,ACEFK,AllElse,K,Other,Stable,MarkedUpper,Other,Other,ModerateOrLe,K,SEQuad,CThruK,Other,Neutral,SIG,Average,NIL,,SIG
Moderate,Down,WeakPos,Neutral,Other,None,N1GtLIGt_4,Clear,May15_Jun14,Neutral,Wet,Weak,PartInhibit,Dry,Stability,Clear,None,Strong,Down,Increasing,Weak,None,None,LessUnstable,Clear,A,Dry,Strong,Average,SIG,Down,Average,IncCapDecIns,Clear,Dry,Westerly,PosToNeg,ACEFK,SWQuad,ABI,LowEvrywhere,Steep,MarkedUpper,DenvCyclone,Other,Steep,A,DenvCyclone,AB,None,Dry,SVR,Average,SIG,Increasing,SVR
Moderate,WeakUp,Neutral,WeakUp,DCVZFavor,Weak,N1GtLIGt_4,Clear,May15_Jun14,Neutral,Neutral,Weak,TotalInhibit,Neutral,Instability,Clear,None,Strong,WeakUp,Decreasing,Weak,Weak,None,MoreUnstable,Clear,K,Neutral,Strong,MoreThanAve,SIG,WeakUp,Average,LittleChange,Cloudy,Dry,LVorOther,SigPositive,ACEFK,AllElse,K,LowNHighS,ModerateOrLe,MarkedUpper,MovingFtorOt,DryMMoistL,Steep,K,SEQuad,CThruK,None,Wet,SVR,MoreThanAve,SVR,LittleChange,SVR
Weak,StronUp,Neutral,WeakUp,DCVZFavor,Weak,N1GtLIGt_4,PC,Aug20_Sep15,Neutral,Neutral,Weak,None,VeryWet,Stability,PC,Stifling,None,WeakUp,Decreasing,Strong,Weak,Marked,MoreUnstable,PC,D,Neutral,Strong,LessThanAve,NIL,WeakUp,Average,DecCapIncIns,PC,Average,Westerly,SigNegative,D,SWQuad,CDEJ,LowAtStation,CloseToDryAd,OtherRapid,DryLine,Other,Steep,D,LV,CThruK,Other,Wet,NIL,LessThanAve,NIL,Decreasing,NIL
